2024-11-19 00:39:15,123 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-19 00:39:15,124 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Configure stats pid to 32336
2024-11-19 00:39:15,124 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Loading settings from C:\Users\31004\.config\wandb\settings
2024-11-19 00:39:15,124 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Loading settings from D:\Desktop\neural network\model\wandb\settings
2024-11-19 00:39:15,124 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-11-19 00:39:15,124 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-19 00:39:15,124 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'imagenet.py', 'program_abspath': 'D:\\Desktop\\neural network\\model\\imagenet.py', 'program': 'D:\\Desktop\\neural network\\model\\imagenet.py'}
2024-11-19 00:39:15,125 INFO    MainThread:32336 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-19 00:39:15,125 INFO    MainThread:32336 [wandb_init.py:_log_setup():533] Logging user logs to D:\Desktop\neural network\model\wandb\run-20241119_003915-1te65yx8\logs\debug.log
2024-11-19 00:39:15,126 INFO    MainThread:32336 [wandb_init.py:_log_setup():534] Logging internal logs to D:\Desktop\neural network\model\wandb\run-20241119_003915-1te65yx8\logs\debug-internal.log
2024-11-19 00:39:15,126 INFO    MainThread:32336 [wandb_init.py:init():619] calling init triggers
2024-11-19 00:39:15,126 INFO    MainThread:32336 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-19 00:39:15,126 INFO    MainThread:32336 [wandb_init.py:init():669] starting backend
2024-11-19 00:39:15,126 INFO    MainThread:32336 [wandb_init.py:init():673] sending inform_init request
2024-11-19 00:39:15,130 INFO    MainThread:32336 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-19 00:39:15,132 INFO    MainThread:32336 [wandb_init.py:init():686] backend started and connected
2024-11-19 00:39:15,142 INFO    MainThread:32336 [wandb_init.py:init():781] updated telemetry
2024-11-19 00:39:15,142 INFO    MainThread:32336 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-19 00:39:16,264 INFO    MainThread:32336 [wandb_init.py:init():867] starting run threads in backend
2024-11-19 00:39:16,436 INFO    MainThread:32336 [wandb_run.py:_console_start():2456] atexit reg
2024-11-19 00:39:16,436 INFO    MainThread:32336 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-19 00:39:16,437 INFO    MainThread:32336 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-19 00:39:16,437 INFO    MainThread:32336 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-19 00:39:16,442 INFO    MainThread:32336 [wandb_init.py:init():911] run started, returning control to user process
2024-11-19 00:40:32,778 WARNING MsgRouterThr:32336 [router.py:message_loop():75] message_loop has been closed
