epoch,batch,train_loss,train_accuracy
0,0,1.7640873,0.15625
1,1,0.3907322,0.9375
1,2,0.44913793,0.84375
1,3,0.18503618,0.9375
1,4,0.46450922,0.875
1,5,0.78361934,0.75
1,6,0.24555063,0.875
1,7,0.45017833,0.84375
1,8,0.26262525,0.96875
1,9,0.24934155,0.90625
1,10,0.55015934,0.84375
1,11,0.23753361,0.9375
1,12,0.30545264,0.875
1,13,0.7004144,0.8125
2,14,0.2902643,0.90625
2,15,0.70754397,0.8125
2,16,0.20274468,0.9375
2,17,0.33704567,0.90625
2,18,0.17319305,0.9375
2,19,0.19914447,0.9375
2,20,0.37466323,0.875
2,21,0.309347,0.875
2,22,0.58684456,0.875
2,23,0.2610909,0.90625
2,24,0.42491597,0.84375
2,25,0.31105477,0.90625
2,26,0.1695033,0.9375
3,27,0.21205756,0.9375
3,28,0.34660006,0.875
3,29,0.26396328,0.90625
3,30,0.07122166,1.0
3,31,0.17346898,0.96875
3,32,0.18657102,0.90625
3,33,0.057328697,1.0
3,34,0.6893641,0.8125
3,35,0.27159575,0.84375
3,36,0.64584845,0.84375
3,37,0.11521179,0.9375
3,38,0.1409635,0.96875
3,39,0.3614477,0.8125
4,40,0.29531118,0.875
4,41,0.15170218,0.96875
4,42,0.86475,0.8125
4,43,0.23730937,0.9375
4,44,0.1677997,0.96875
4,45,0.24623463,0.9375
4,46,0.3175473,0.8125
4,47,0.14207563,0.90625
4,48,0.2388428,0.875
4,49,0.17486843,0.90625
4,50,0.17701969,0.9375
4,51,0.038097028,1.0
4,52,1.1937639,0.75
5,53,0.15615931,0.96875
5,54,0.51698434,0.8125
5,55,0.31705397,0.875
5,56,0.46337363,0.90625
5,57,0.6346157,0.84375
5,58,0.47581652,0.84375
5,59,0.36560097,0.90625
5,60,0.40314877,0.84375
5,61,0.5558539,0.75
5,62,0.4515737,0.78125
5,63,0.80980307,0.78125
5,64,0.72461724,0.75
5,65,1.4977387,0.6875
6,66,0.21481429,0.9375
6,67,0.21247415,0.90625
6,68,0.41494405,0.875
6,69,0.27937102,0.90625
6,70,0.19390954,0.9375
6,71,0.25836352,0.90625
6,72,0.22473313,0.90625
6,73,0.2939906,0.84375
6,74,0.35607594,0.84375
6,75,0.16720033,0.96875
6,76,0.52619326,0.84375
6,77,0.117261976,0.96875
6,78,0.43549666,0.75
7,79,0.7356123,0.90625
7,80,0.2081869,0.96875
7,81,0.1006013,0.96875
7,82,0.123969875,0.96875
